command,mean,stddev,median,user,system,min,max
10a,11.222001246600001,0.015716568662697408,11.2177551544,0.010964859999999998,0.0033548799999999998,11.203028363400001,11.245610155400001
11a,0.03368758000000001,0.0010091130164455325,0.0336384054,0.01072506,0.0031520800000000002,0.0324573634,0.0352084464
11b,0.0203267468,0.0007250010519380642,0.0199326964,0.010562259999999999,0.0030370799999999997,0.0196504464,0.0212624054
11c,2.3585537297999997,0.007255068100026361,2.3552173214,0.022784859999999997,0.00399508,2.3522201134,2.3706389463999997
11d,1.8620129300000001,0.008290020903593182,1.8609585304000003,0.032611259999999996,0.004160679999999999,1.8528379054000002,1.8728696544000003
12a,1.4258255050000002,0.005039436378185622,1.4278872384,0.011263859999999997,0.00322888,1.4168481964000001,1.4287785294000002
12b,0.6010396882,0.0013233186380570588,0.6008558634000001,0.01066126,0.0031688800000000002,0.5992523634,0.6023923214
12c,4.2619381968,0.5347232865683447,4.0068696964,0.015242859999999997,0.00426248,4.0067386553999995,5.2171396134
13a,3.1342955382000004,0.019390682447196553,3.1299954884,0.12317125999999998,0.009383079999999999,3.1190442804,3.1670171544
13b,4.786605005,0.013082830776659556,4.7879330304,0.01111326,0.0039638799999999995,4.7695241134,4.8044595294
13c,4.7260341384,0.022459505972874542,4.7342477384,0.01084566,0.00376768,4.6946739884,4.7523604054
13d,16.8815446884,0.033063696086975854,16.879004863400002,0.6453044600000001,0.06291768,16.8518350304,16.933313863400002
14a,3.4742141216,0.004988370717869544,3.4755932384,0.011078459999999998,0.00327608,3.4667475294,3.4788439884
14b,2.9717346802,0.01673673184552825,2.9656634883999997,0.010762260000000001,0.00342048,2.9566361134,2.9976269473999997
14c,10.9836844968,0.11420108895121243,11.0280249054,0.01288926,0.0040856799999999995,10.780499738400001,11.0490026974
15a,1.6126827132000003,0.0021522391462137276,1.6123106554000002,0.010921860000000002,0.00316788,1.6097024044000001,1.6154589464000002
15b,0.9811346384,0.0014750186273211944,0.9814036554000001,0.010650259999999998,0.0031570800000000005,0.9791594464000001,0.9830552384000001
15c,4.9427297636,0.18414087861708345,4.9916307384,0.012622060000000001,0.003679079999999999,4.7259346134,5.1139963634
15d,5.0459398718,0.008076668611814438,5.0488839044,0.02166386,0.004136879999999999,5.0342028634,5.0547684474
