label,join_buffer_size_bytes,spill_ratio,duration_s,optimistic_count,spill_count
256KB,262144,1.0,43.335295064,2,2
384KB,393216,1.0,42.194959513,2,2
512KB,524288,1.0,43.265056974,2,2
768KB,786432,1.0,42.378313693,2,2
1MB,1048576,1.0,41.381902395,2,2
1.5MB,1572864,1.0,40.74239874,2,2
2MB,2097152,1.0,41.211573883,2,2
3MB,3145728,0.5,32.063947629,2,1
4MB,4194304,0.5,32.280847444,2,1
6MB,6291456,0.5,32.152700953,2,1
