label,join_buffer_size_bytes,spill_ratio,duration_s,optimistic_count,spill_count
256KB,262144,0.5,48.741750983,2,1
384KB,393216,0.5,50.899451425,2,1
512KB,524288,0.5,47.583614419,2,1
768KB,786432,0.5,40.388028689,2,1
1MB,1048576,0.5,37.071847794,2,1
1.5MB,1572864,0.5,34.876975737,2,1
2MB,2097152,0.0,25.353455443,2,0
3MB,3145728,0.0,25.769254066,2,0
4MB,4194304,0.0,25.961142572,2,0
6MB,6291456,0.0,25.885871822,2,0
