label,join_buffer_size_bytes,spill_ratio,duration_s,optimistic_count,spill_count
256KB,262144,1.0,220.493501639,1,1
384KB,393216,1.0,216.599369568,1,1
512KB,524288,1.0,216.014397505,1,1
768KB,786432,1.0,215.263395078,1,1
1MB,1048576,1.0,216.675393803,1,1
1.5MB,1572864,1.0,219.426147041,1,1
2MB,2097152,1.0,219.15363791,1,1
3MB,3145728,1.0,177.633660352,1,1
4MB,4194304,1.0,177.438728699,1,1
6MB,6291456,1.0,178.924177317,1,1
