label,join_buffer_size_bytes,spill_ratio,duration_s
256KB,262144,0.3333333333333333,18.777581042
384KB,393216,0.3333333333333333,18.458712959
512KB,524288,0.3333333333333333,18.373734625
768KB,786432,0.3333333333333333,18.293019166
1MB,1048576,0.0,1.4069045
1.5MB,1572864,0.0,1.377346875
2MB,2097152,0.0,1.383831542
3MB,3145728,0.0,1.380724042
4MB,4194304,0.0,1.378374583
6MB,6291456,0.0,1.37681825
