label,join_buffer_size_bytes,spill_ratio,duration_s
256KB,262144,0.3333333333333333,12.868476125
384KB,393216,0.3333333333333333,12.669138667
512KB,524288,0.3333333333333333,12.544360417
768KB,786432,0.3333333333333333,12.422369958
1MB,1048576,0.3333333333333333,12.420764708
1.5MB,1572864,0.0,12.554731083
2MB,2097152,0.0,12.661552083
3MB,3145728,0.0,12.631930667
4MB,4194304,0.0,12.625322709
6MB,6291456,0.0,12.559857709
