label,join_buffer_size_bytes,spill_ratio,duration_s
256KB,262144,0.3333333333333333,26.411341334
384KB,393216,0.3333333333333333,21.222548041
512KB,524288,0.3333333333333333,21.143027
768KB,786432,0.3333333333333333,21.204146083
1MB,1048576,0.3333333333333333,21.311027958
1.5MB,1572864,0.3333333333333333,21.452809833
2MB,2097152,0.3333333333333333,21.099636667
3MB,3145728,0.3333333333333333,20.993418208
4MB,4194304,0.3333333333333333,21.039983875
6MB,6291456,0.3333333333333333,20.682477292
