label,join_buffer_size_bytes,spill_ratio,duration_s
256KB,262144,0.0,28.929162417
384KB,393216,0.0,17.619943208
512KB,524288,0.0,15.25624925
768KB,786432,0.0,13.442654709
1MB,1048576,0.0,12.764291374999999
1.5MB,1572864,0.0,12.284602125
2MB,2097152,0.0,11.539033208
3MB,3145728,0.0,10.779024291
4MB,4194304,0.0,10.313976083
6MB,6291456,0.0,10.011276208
