label,join_buffer_size_bytes,spill_ratio,duration_s
256KB,262144,0.0,7.434366333
384KB,393216,0.0,7.514474166
512KB,524288,0.0,7.423021167
768KB,786432,0.0,7.465017917
1MB,1048576,0.0,7.928094584
1.5MB,1572864,0.0,7.581412417
2MB,2097152,0.0,7.476289042
3MB,3145728,0.0,7.478710125
4MB,4194304,0.0,7.3541295
6MB,6291456,0.0,7.2784682499999995
