label,join_buffer_size_bytes,spill_ratio,duration_s
256KB,262144,0.0,9.604269583
384KB,393216,0.0,8.773197583
512KB,524288,0.0,8.5393505
768KB,786432,0.0,8.326706792
1MB,1048576,0.0,8.328788291
1.5MB,1572864,0.0,7.867750958
2MB,2097152,0.0,7.777308583
3MB,3145728,0.0,7.650899334
4MB,4194304,0.0,7.532861333
6MB,6291456,0.0,7.502295292
