label,join_buffer_size_bytes,spill_ratio,duration_s,optimistic_count,spill_count
256KB,262144,0.0,0.017941875,3,0
384KB,393216,0.0,0.019167875,3,0
512KB,524288,0.0,0.017987334,3,0
768KB,786432,0.0,0.017882625,3,0
1MB,1048576,0.0,0.018409625,3,0
1.5MB,1572864,0.0,0.018005125,3,0
2MB,2097152,0.0,0.018377667,3,0
3MB,3145728,0.0,0.017777333,3,0
4MB,4194304,0.0,0.019193333,3,0
6MB,6291456,0.0,0.020093333,3,0
