label,join_buffer_size_bytes,spill_ratio,spill_count,optimism_level,duration_s
baseline,2097152,0.0,0,0.0,0.173770963
baseline,2097152,0.0,0,0.0,0.187877078
baseline,2097152,0.0,0,0.0,0.173416276
baseline,2097152,0.0,0,0.0,0.173672727
baseline,2097152,0.0,0,0.0,0.172835212
baseline,2097152,0.0,0,0.0,0.170465814
baseline,2097152,0.0,0,0.0,0.170937912
baseline,2097152,0.0,0,0.0,0.171883959
baseline,2097152,0.0,0,0.0,0.170691097
baseline,2097152,0.0,0,0.0,0.173683493
baseline,2097152,0.0,0,0.0,0.173666362
baseline,2097152,0.0,0,0.0,0.171643447
baseline,2097152,0.0,0,0.0,0.170548759
baseline,2097152,0.0,0,0.0,0.169664684
baseline,2097152,0.0,0,0.0,0.188981764
baseline,2097152,0.0,0,0.0,0.173951228
baseline,2097152,0.0,0,0.0,0.170505072
baseline,2097152,0.0,0,0.0,0.170329051
baseline,2097152,0.0,0,0.0,0.170825662
baseline,2097152,0.0,0,0.0,0.170997611
baseline,2097152,0.0,0,0.0,0.175001171
baseline,2097152,0.0,0,0.0,0.17512035
baseline,2097152,0.0,0,0.0,0.173593728
baseline,2097152,0.0,0,0.0,0.170488749
baseline,2097152,0.0,0,0.0,0.169984807
baseline,2097152,0.0,0,0.0,0.169120409
baseline,2097152,0.0,0,0.0,0.169390542
baseline,2097152,0.0,0,0.0,0.18795099
baseline,2097152,0.0,0,0.0,0.173301807
baseline,2097152,0.0,0,0.0,0.170130237
baseline,2097152,0.0,0,0.0,0.178342513
baseline,2097152,0.0,0,0.0,0.168620948
baseline,2097152,0.0,0,0.0,0.169698292
baseline,2097152,0.0,0,0.0,0.171833926
baseline,2097152,0.0,0,0.0,0.170738582
baseline,2097152,0.0,0,0.0,0.169618935
baseline,2097152,0.0,0,0.0,0.171765504
baseline,2097152,0.0,0,0.0,0.170424018
baseline,2097152,0.0,0,0.0,0.170931153
baseline,2097152,0.0,0,0.0,0.171847239
baseline,2097152,0.0,0,0.0,0.183907621
baseline,2097152,0.0,0,0.0,0.173853303
baseline,2097152,0.0,0,0.0,0.171302738
baseline,2097152,0.0,0,0.0,0.171172525
baseline,2097152,0.0,0,0.0,0.17252552
baseline,2097152,0.0,0,0.0,0.171483352
baseline,2097152,0.0,0,0.0,0.173092114
baseline,2097152,0.0,0,0.0,0.171935927
baseline,2097152,0.0,0,0.0,0.173942821
baseline,2097152,0.0,0,0.0,0.169369753
baseline,2097152,0.0,0,0.0,0.172486851
baseline,2097152,0.0,0,0.0,0.172884409
baseline,2097152,0.0,0,0.0,0.172035332
baseline,2097152,0.0,0,0.0,0.1875732
baseline,2097152,0.0,0,0.0,0.173975496
baseline,2097152,0.0,0,0.0,0.173472306
baseline,2097152,0.0,0,0.0,0.171819866
baseline,2097152,0.0,0,0.0,0.171572662
baseline,2097152,0.0,0,0.0,0.172821364
baseline,2097152,0.0,0,0.0,0.180998978
baseline,2097152,0.0,0,0.0,0.172642905
baseline,2097152,0.0,0,0.0,0.172847996
baseline,2097152,0.0,0,0.0,0.172547013
baseline,2097152,0.0,0,0.0,0.172419105
baseline,2097152,0.0,0,0.0,0.170389759
baseline,2097152,0.0,0,0.0,0.169470347
baseline,2097152,0.0,0,0.0,0.186001567
baseline,2097152,0.0,0,0.0,0.176220496
baseline,2097152,0.0,0,0.0,0.171869959
baseline,2097152,0.0,0,0.0,0.171503744
baseline,2097152,0.0,0,0.0,0.173277855
baseline,2097152,0.0,0,0.0,0.17206213
baseline,2097152,0.0,0,0.0,0.172330581
baseline,2097152,0.0,0,0.0,0.173078338
baseline,2097152,0.0,0,0.0,0.17217393
baseline,2097152,0.0,0,0.0,0.172447289
baseline,2097152,0.0,0,0.0,0.172034481
baseline,2097152,0.0,0,0.0,0.172347626
baseline,2097152,0.0,0,0.0,0.171992861
baseline,2097152,0.0,0,0.0,0.190543036
baseline,2097152,0.0,0,0.0,0.174014316
baseline,2097152,0.0,0,0.0,0.170364342
baseline,2097152,0.0,0,0.0,0.171831656
baseline,2097152,0.0,0,0.0,0.173484024
baseline,2097152,0.0,0,0.0,0.170307881
baseline,2097152,0.0,0,0.0,0.174318198
baseline,2097152,0.0,0,0.0,0.172072052
baseline,2097152,0.0,0,0.0,0.172197731
baseline,2097152,0.0,0,0.0,0.178040058
baseline,2097152,0.0,0,0.0,0.17238209
baseline,2097152,0.0,0,0.0,0.170743316
baseline,2097152,0.0,0,0.0,0.17269599
baseline,2097152,0.0,0,0.0,0.19026093
baseline,2097152,0.0,0,0.0,0.171624265
baseline,2097152,0.0,0,0.0,0.172692346
baseline,2097152,0.0,0,0.0,0.170916162
baseline,2097152,0.0,0,0.0,0.170374025
baseline,2097152,0.0,0,0.0,0.172384312
baseline,2097152,0.0,0,0.0,0.173411997
baseline,2097152,0.0,0,0.0,0.170338839
