label,join_buffer_size_bytes,spill_ratio,spill_count,optimism_level,duration_s
optimistic,2097152,0.0,0,0.0,0.172517499
optimistic,2097152,0.0,0,0.0,0.172902394
optimistic,2097152,0.0,0,0.0,0.172898131
optimistic,2097152,0.0,0,0.0,0.173212981
optimistic,2097152,0.0,0,0.0,0.171815292
optimistic,2097152,0.0,0,0.0,0.191473551
optimistic,2097152,0.0,0,0.0,0.17339544
optimistic,2097152,0.0,0,0.0,0.173564262
optimistic,2097152,0.0,0,0.0,0.174070181
optimistic,2097152,0.0,0,0.0,0.173440643
optimistic,2097152,0.0,0,0.0,0.173928692
optimistic,2097152,0.0,0,0.0,0.173302365
optimistic,2097152,0.0,0,0.0,0.174456041
optimistic,2097152,0.0,0,0.0,0.176023872
optimistic,2097152,0.0,0,0.0,0.173797722
optimistic,2097152,0.0,0,0.0,0.172809144
optimistic,2097152,0.0,0,0.0,0.172935167
optimistic,2097152,0.0,0,0.0,0.188201398
optimistic,2097152,0.0,0,0.0,0.183909636
optimistic,2097152,0.0,0,0.0,0.174030087
optimistic,2097152,0.0,0,0.0,0.173620854
optimistic,2097152,0.0,0,0.0,0.174566122
optimistic,2097152,0.0,0,0.0,0.172113515
optimistic,2097152,0.0,0,0.0,0.173497002
optimistic,2097152,0.0,0,0.0,0.173469234
optimistic,2097152,0.0,0,0.0,0.174058653
optimistic,2097152,0.0,0,0.0,0.174160644
optimistic,2097152,0.0,0,0.0,0.172904904
optimistic,2097152,0.0,0,0.0,0.172516402
optimistic,2097152,0.0,0,0.0,0.173264559
optimistic,2097152,0.0,0,0.0,0.183609101
optimistic,2097152,0.0,0,0.0,0.180886626
optimistic,2097152,0.0,0,0.0,0.173871669
optimistic,2097152,0.0,0,0.0,0.170592183
optimistic,2097152,0.0,0,0.0,0.171745334
optimistic,2097152,0.0,0,0.0,0.173191823
optimistic,2097152,0.0,0,0.0,0.174056479
optimistic,2097152,0.0,0,0.0,0.176298577
optimistic,2097152,0.0,0,0.0,0.172454367
optimistic,2097152,0.0,0,0.0,0.171460728
optimistic,2097152,0.0,0,0.0,0.172733998
optimistic,2097152,0.0,0,0.0,0.17332497
optimistic,2097152,0.0,0,0.0,0.174233146
optimistic,2097152,0.0,0,0.0,0.184564528
optimistic,2097152,0.0,0,0.0,0.176773255
optimistic,2097152,0.0,0,0.0,0.172071444
optimistic,2097152,0.0,0,0.0,0.179429321
optimistic,2097152,0.0,0,0.0,0.173903595
optimistic,2097152,0.0,0,0.0,0.174040537
optimistic,2097152,0.0,0,0.0,0.174272296
optimistic,2097152,0.0,0,0.0,0.172899558
optimistic,2097152,0.0,0,0.0,0.170919699
optimistic,2097152,0.0,0,0.0,0.172560144
optimistic,2097152,0.0,0,0.0,0.175085883
optimistic,2097152,0.0,0,0.0,0.173925956
optimistic,2097152,0.0,0,0.0,0.172460958
optimistic,2097152,0.0,0,0.0,0.189679485
optimistic,2097152,0.0,0,0.0,0.176551343
optimistic,2097152,0.0,0,0.0,0.171491649
optimistic,2097152,0.0,0,0.0,0.175413856
optimistic,2097152,0.0,0,0.0,0.172749269
optimistic,2097152,0.0,0,0.0,0.171881844
optimistic,2097152,0.0,0,0.0,0.170816601
optimistic,2097152,0.0,0,0.0,0.172023752
optimistic,2097152,0.0,0,0.0,0.170226817
optimistic,2097152,0.0,0,0.0,0.173390483
optimistic,2097152,0.0,0,0.0,0.173031354
