label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
query49,786432,0.0,0,0,0.0,0.0168455
query49,786432,0.0,0,0,0.0,0.018856333
query49,786432,0.0,0,0,0.0,0.01872575
query49,786432,0.0,0,0,0.0,0.018598375
query49,786432,0.0,0,0,0.0,0.018070708
query49,786432,0.0,0,0,0.0,0.018347083
query49,786432,0.0,0,0,0.0,0.017517834
query49,786432,0.0,0,0,0.0,0.016970458
query49,786432,0.0,0,0,0.0,0.019511875
query49,786432,0.0,0,0,0.0,0.018920334
query49,786432,0.0,0,0,0.0,0.01789525
query49,786432,0.0,0,0,0.0,0.017386
query49,786432,0.0,0,0,0.0,0.018025083
query49,786432,0.0,0,0,0.0,0.017855333
query49,786432,0.0,0,0,0.0,0.016776916
query49,786432,0.0,0,0,0.0,0.042064375
query49,786432,0.0,0,0,0.0,0.043773708
query49,786432,0.0,0,0,0.0,0.019141541
query49,786432,0.0,0,0,0.0,0.01746775
query49,786432,0.0,0,0,0.0,0.017186292
query49,786432,0.0,0,0,0.0,0.020294208
query49,786432,0.0,0,0,0.0,0.01888225
query49,786432,0.0,0,0,0.0,0.018816917
query49,786432,0.0,0,0,0.0,0.0175625
query49,786432,0.0,0,0,0.0,0.020039708
query49,786432,0.0,0,0,0.0,0.018856833
query49,786432,0.0,0,0,0.0,0.016985041
query49,786432,0.0,0,0,0.0,0.017019041
query49,786432,0.0,0,0,0.0,0.017008833
query49,786432,0.0,0,0,0.0,0.017306
query49,786432,0.0,0,0,0.0,0.017853666
query49,786432,0.0,0,0,0.0,0.01702425
query49,786432,0.0,0,0,0.0,0.017087292
query49,786432,0.0,0,0,0.0,0.016971625
query49,786432,0.0,0,0,0.0,0.016904417
query49,786432,0.0,0,0,0.0,0.020147959
query49,786432,0.0,0,0,0.0,0.017367416
query49,786432,0.0,0,0,0.0,0.022099917
query49,786432,0.0,0,0,0.0,0.017303708
query49,786432,0.0,0,0,0.0,0.017482625
query49,786432,0.0,0,0,0.0,0.017612209
query49,786432,0.0,0,0,0.0,0.020255625
query49,786432,0.0,0,0,0.0,0.01813825
query49,786432,0.0,0,0,0.0,0.01866925
query49,786432,0.0,0,0,0.0,0.016883291
query49,786432,0.0,0,0,0.0,0.018929208
query49,786432,0.0,0,0,0.0,0.018852833
query49,786432,0.0,0,0,0.0,0.018540458
query49,786432,0.0,0,0,0.0,0.018354792
query49,786432,0.0,0,0,0.0,0.018409291
query49,786432,0.0,0,0,0.0,0.018738041
query49,786432,0.0,0,0,0.0,0.018675209
query49,786432,0.0,0,0,0.0,0.019066791
query49,786432,0.0,0,0,0.0,0.018885041
query49,786432,0.0,0,0,0.0,0.01863625
query49,786432,0.0,0,0,0.0,0.017636917
query49,786432,0.0,0,0,0.0,0.018136625
query49,786432,0.0,0,0,0.0,0.018051041
query49,786432,0.0,0,0,0.0,0.017269292
query49,786432,0.0,0,0,0.0,0.0168575
query49,786432,0.0,0,0,0.0,0.017433166
query49,786432,0.0,0,0,0.0,0.018343625
query49,786432,0.0,0,0,0.0,0.018145209
query49,786432,0.0,0,0,0.0,0.017187542
query49,786432,0.0,0,0,0.0,0.018270875
query49,786432,0.0,0,0,0.0,0.017119541
query49,786432,0.0,0,0,0.0,0.017425708
query49,786432,0.0,0,0,0.0,0.017413625
query49,786432,0.0,0,0,0.0,0.019472458
query49,786432,0.0,0,0,0.0,0.017747541
query49,786432,0.0,0,0,0.0,0.01716725
query49,786432,0.0,0,0,0.0,0.018881458
query49,786432,0.0,0,0,0.0,0.017755958
query49,786432,0.0,0,0,0.0,0.017496791
query49,786432,0.0,0,0,0.0,0.016816667
query49,786432,0.0,0,0,0.0,0.021049708
query49,786432,0.0,0,0,0.0,0.020800583
query49,786432,0.0,0,0,0.0,0.018488958
query49,786432,0.0,0,0,0.0,0.018967792
query49,786432,0.0,0,0,0.0,0.017881167
query49,786432,0.0,0,0,0.0,0.017508084
query49,786432,0.0,0,0,0.0,0.017381708
query49,786432,0.0,0,0,0.0,0.017530083
query49,786432,0.0,0,0,0.0,0.017138042
query49,786432,0.0,0,0,0.0,0.017203625
query49,786432,0.0,0,0,0.0,0.017535625
query49,786432,0.0,0,0,0.0,0.018544417
query49,786432,0.0,0,0,0.0,0.017296375
query49,786432,0.0,0,0,0.0,0.017433959
query49,786432,0.0,0,0,0.0,0.017877208
query49,786432,0.0,0,0,0.0,0.017203625
query49,786432,0.0,0,0,0.0,0.018076875
query49,786432,0.0,0,0,0.0,0.017563667
query49,786432,0.0,0,0,0.0,0.0169125
query49,786432,0.0,0,0,0.0,0.017204458
query49,786432,0.0,0,0,0.0,0.017707666
query49,786432,0.0,0,0,0.0,0.017397542
query49,786432,0.0,0,0,0.0,0.018189542
query49,786432,0.0,0,0,0.0,0.01765025
query49,786432,0.0,0,0,0.0,0.016834417
query49,786432,0.0,0,0,0.0,0.017110417
query49,786432,0.0,0,0,0.0,0.018073042
query49,786432,0.0,0,0,0.0,0.017301917
query49,786432,0.0,0,0,0.0,0.017369417
query49,786432,0.0,0,0,0.0,0.017320875
query49,786432,0.0,0,0,0.0,0.018792792
query49,786432,0.0,0,0,0.0,0.017669917
query49,786432,0.0,0,0,0.0,0.018064459
query49,786432,0.0,0,0,0.0,0.021990709
query49,786432,0.0,0,0,0.0,0.018233083
query49,786432,0.0,0,0,0.0,0.024776667
query49,786432,0.0,0,0,0.0,0.021671125
query49,786432,0.0,0,0,0.0,0.018574916
query49,786432,0.0,0,0,0.0,0.017716916
query49,786432,0.0,0,0,0.0,0.019302333
query49,786432,0.0,0,0,0.0,0.019002958
query49,786432,0.0,0,0,0.0,0.018695542
query49,786432,0.0,0,0,0.0,0.017204708
query49,786432,0.0,0,0,0.0,0.019125
query49,786432,0.0,0,0,0.0,0.017285833
query49,786432,0.0,0,0,0.0,0.017188125
query49,786432,0.0,0,0,0.0,0.018315709
query49,786432,0.0,0,0,0.0,0.01833575
