command,mean,stddev,median,user,system,min,max
10a,11.508197344140003,0.02193333229675894,11.51289841974,0.01115068,0.0053043199999999995,11.486397460740001,11.53929658574
11a,0.03447745234,0.0005501290157633931,0.03418721074,0.010742079999999998,0.0034163199999999996,0.03395366874,0.03520466874
11b,0.022072810140000003,0.0012337801452458226,0.02182637674,0.010937079999999998,0.00360992,0.02079216874,0.023993126740000002
11c,2.3819638359399997,0.044133158885108555,2.37120008574,0.022953080000000004,0.00457552,2.33760458574,2.44914358574
11d,1.8880411437400002,0.017465266881365453,1.8829255857400002,0.03307308,0.00478032,1.8733351687400002,1.9181818767400003
12a,1.46346526894,0.006895544982432392,1.4665790437400001,0.011211679999999998,0.0034231200000000004,1.4527187937400001,1.47015571074
12b,2.2640765523399997,0.022401766738198402,2.25839246074,0.01090868,0.0038211199999999995,2.24805033574,2.30304475274
12c,4.695100185539999,0.734787392708851,4.29875266874,0.01573528,0.00506292,4.131520710739999,5.8051303357399995
13a,3.21713711094,0.014122476910599249,3.2182207107400003,0.12318428,0.010523919999999999,3.20241800274,3.23653421074
13b,4.83749180254,0.02307332031066295,4.831137043739999,0.011549479999999999,0.00448372,4.82040437774,4.8777294607399995
13c,4.78966728554,0.018171979964204915,4.7938421687399995,0.010989879999999999,0.00420332,4.76215058574,4.808391127739999
13d,17.78615806074,0.3271843143643266,17.63544458574,0.6497036799999999,0.06949572000000001,17.56843621074,18.35804741874
14a,3.61918414434,0.010114804576406797,3.62359304374,0.011426879999999999,0.00402292,3.60415225274,3.6292399197400003
14b,3.0087258355400004,0.015686333220814003,3.01875754374,0.011014079999999999,0.00405272,2.9914425437400003,3.02183466874
14c,11.19961891914,0.10145806305612037,11.14974808574,0.013104479999999998,0.00425472,11.10196133574,11.35455191974
15a,1.72545079394,0.004575983045362414,1.72752487674,0.011287479999999999,0.00355272,1.7198980857400001,1.7295768767400002
15b,1.00768679394,0.004004416578161096,1.00782016974,0.010894079999999999,0.00343932,1.0022127517400001,1.01328787674
15c,5.21263116074,0.011097495178207134,5.21075362774,0.013121279999999999,0.00433412,5.20032571074,5.22928116874
15d,5.154683085539999,0.042626852329291594,5.12724746074,0.021807479999999997,0.0047835199999999994,5.11972091874,5.2061689187399995
16a,0.04723630254,0.0007823176856863843,0.04691554374,0.010669679999999999,0.0034091200000000003,0.04651862774,0.04813404474
16b,0.04890180214,0.000980296730065849,0.04898291874,0.01070488,0.0032315200000000003,0.047805043740000004,0.05029516874
16c,0.04970191874,0.0012198346039297683,0.04963566874,0.010861879999999999,0.0035131200000000002,0.047964793740000004,0.05138212674
16d,0.04816078574,0.001170058931531656,0.04818179374,0.010843279999999999,0.0033713199999999997,0.04665021074,0.04990421074
17a,1.2084915771400002,0.004708295908469485,1.20562962674,0.01087148,0.0038431199999999998,1.20473508574,1.2146427937400002
17b,0.12269756074000002,0.00248910963675187,0.12256054374000001,0.010987479999999999,0.0034071199999999996,0.11920704474,0.12583208574000002
17c,0.12200588574,0.0023320794392171725,0.12305546074,0.011003879999999999,0.0033069200000000005,0.11910658574,0.12452196074
17d,0.12106362734000001,0.002849193140924607,0.12020671074,0.010859079999999998,0.003270919999999999,0.11843921074000001,0.12584837774000002
17e,0.05104507734,0.002282855264185905,0.049924669740000004,0.010950479999999999,0.00342492,0.04943937674,0.05494654374
17f,0.12157088553999999,0.0012272642758942391,0.12144046074,0.010905679999999997,0.00326472,0.11982754374,0.12279900174000001
18a,11.709994844140002,0.1177404782573925,11.66195237774,0.01115148,0.00499772,11.63315954374,11.91784679374
18b,5.8038488271399995,0.07341212793026093,5.824779543739999,0.011103479999999999,0.0047677200000000005,5.687072919739999,5.88666375174
18c,22.34544940214,0.12093385078612344,22.36619100274,0.01110548,0.00512052,22.20832391874,22.50757941874
19a,37.81544741054,0.3168361220540269,37.728195501740004,0.01125868,0.00647952,37.485204418740004,38.25182050174
19b,1.4328815689399999,0.003191165751547354,1.43259283574,0.01096348,0.00387512,1.4293163767400001,1.4377900857400001
19c,1.41528257714,0.05024038882070249,1.39417950174,0.010958279999999997,0.0037851200000000003,1.39002179474,1.50505175174
19d,14.26970140234,0.015944435782597896,14.271837918740001,0.02276468,0.00569912,14.24457141874,14.28622408574
1a,1.43022871914,0.035693621900649945,1.4171276277400002,0.011023879999999998,0.00366192,1.40761166874,1.4935070027400001
1b,1.1468142023400003,0.004825974721457281,1.14509925174,0.01082048,0.0037721199999999995,1.1414400017400002,1.1536116277400001
1c,1.1544717943400002,0.00789922421063852,1.1542332937400002,0.01090128,0.0036957199999999996,1.14389091974,1.16510741974
1d,1.1456609189400002,0.0020841018710505877,1.14562346074,0.010915079999999999,0.0037645200000000004,1.14295504374,1.14858833574
20a,10.54634455274,0.06640856086980922,10.539133085740001,0.01124168,0.00516152,10.47681087774,10.63667908574
20b,6.12143126054,0.04141944616576967,6.104926251739999,0.011187279999999999,0.00503432,6.080160085739999,6.18480641874
20c,2.6710014107399997,0.06349597741329147,2.64319966974,0.014430879999999998,0.00467852,2.63560241874,2.7839953357400002
21a,0.03572762734,0.0008758952008715419,0.03594741874,0.010941880000000001,0.0034083200000000003,0.034294752740000004,0.03646479374
21b,0.03331766074,0.0009821009894326025,0.03336904374,0.01079548,0.00317092,0.03231158574,0.03460071074
21c,0.039919527739999995,0.0002977638503520873,0.03990121074,0.01098888,0.0033715199999999994,0.03951912774,0.040284044740000004
22a,3.87948508574,0.2263597846990772,3.79082362774,0.01393768,0.00425672,3.73434937774,4.277231877739999
22b,2.0634183857400004,0.03099114197090772,2.0517370017400003,0.01119068,0.00361912,2.04682621074,2.11867562774
22c,16.12770216914,0.034726424360122236,16.14181058574,0.03248548,0.006749719999999999,16.071376210740002,16.15675308574
22d,11.736777702540001,0.05205056124336287,11.75326937774,0.05513808,0.0074781199999999996,11.646348293740001,11.77476391974
23a,3.5075558607399997,0.010132415254393172,3.50493771074,0.01117408,0.003788919999999999,3.49680396074,3.52195829474
23b,3.55934622714,0.01745813818428574,3.56043241874,0.01102788,0.00452012,3.53455954374,3.58097879374
23c,8.13796608554,0.05224769159317743,8.12105929374,0.01130228,0.00450732,8.07932896074,8.21650183574
24a,1.39272527734,0.0049021284811305655,1.39301125274,0.01089668,0.003855119999999999,1.38729362674,1.39856237774
24b,1.2589872609400001,0.0024180952425991702,1.25936683574,0.010853479999999999,0.0038219200000000004,1.25592837774,1.2617330027400002
25a,20.55809967754,0.5043012072050134,20.30408196074,0.01131048,0.005852120000000001,20.27458666974,21.44989566874
25b,1.1977287607400002,0.006018819278133123,1.1982621687400001,0.010714679999999999,0.0034725199999999998,1.18882762774,1.2043827527400002
25c,22.207473885540004,0.7582972973233819,22.41059066874,0.01131168,0.005108119999999999,21.377285251740002,23.241405168740002
26a,1.08460968594,0.003280811957408301,1.08604408574,0.012798679999999998,0.0036757200000000004,1.0800859197400001,1.08819896074
26b,0.36171904373999997,0.0022725184951163744,0.36253762674,0.010973479999999999,0.00342032,0.35813716874,0.36388712674
26c,2.8822481193400002,0.007396948573756373,2.88063112774,0.01565928,0.00452332,2.87380291974,2.89137171074
27a,0.04277479414,0.001288599250182074,0.04296829474,0.010948679999999999,0.0033661199999999994,0.04082679474,0.04441391874
27b,0.04373875234,0.0018946269245956584,0.04341558574,0.011098279999999999,0.0035835199999999998,0.04217479374,0.04686996074
27c,0.06442296094,0.0008014480855381085,0.06484116974,0.01081768,0.0034653199999999996,0.06339754374,0.06513254474
28a,3.6771474357400002,0.009294246366819867,3.67979821074,0.01565108,0.00432152,3.6629062937400003,3.6854829607400004
28b,1.5565801441400002,0.00553541039540643,1.5587206687400001,0.011244480000000001,0.00396612,1.54794925274,1.56220004474
28c,0.95018665254,0.0019134264920897157,0.95034766874,0.019329480000000003,0.0042339199999999995,0.94822412774,0.95312308574
29a,0.28938314374,0.0030234724432267527,0.28916425174000004,0.01099768,0.0035583199999999994,0.28541308574,0.29364216874000004
29b,0.29848809434,0.0028996866273611785,0.29749875274000004,0.011003279999999999,0.0038441199999999995,0.29531650274000004,0.30308966974
29c,2.5997871277400004,0.004614552165325835,2.59874996074,0.01096008,0.00374752,2.5952030027400004,2.6053280447400002
2a,0.04753939434,0.000945346270658167,0.04723908574,0.01075428,0.0032529200000000003,0.04637183574,0.048783002740000005
2b,0.05004406094,0.002259263443319128,0.04988866974,0.01088988,0.0034897200000000004,0.04752121074,0.05342175274
2c,0.04850240234000001,0.0008670969572477482,0.04878233574,0.010774079999999998,0.0034759199999999995,0.04739825174,0.04928254474
2d,0.04841079434000001,0.0012899177840995518,0.047977502740000004,0.01057608,0.0030779199999999996,0.04711704474,0.05040816974
30a,1.30130449394,0.01623674196539194,1.29488437674,0.01092748,0.0038147199999999997,1.28671416874,1.32742479374
30b,0.29199670254000004,0.002042587018217145,0.29211371074000003,0.01076048,0.00336732,0.28941654474,0.29478037674
30c,11.531195735740003,0.026511526620273906,11.526395585740001,0.011101879999999998,0.00463552,11.498185085740001,11.568165585740001
31a,6.37702795254,0.040396586849469986,6.3654400857399995,0.011283679999999999,0.00470312,6.34998283574,6.447954794739999
31b,1.27716830254,0.0021363381933839592,1.27729679474,0.01104048,0.0036283199999999995,1.2747357107400001,1.28047271074
31c,10.71268986894,0.3006453619222861,10.74667621074,0.01341648,0.0053449199999999995,10.35818529374,11.01274733574
32a,0.04795682734,0.0005496453709413918,0.04810025274,0.010757679999999999,0.0036661199999999993,0.04723054374,0.04869108574
32b,0.04791574434,0.0004089525605113627,0.04770575274,0.010653880000000001,0.00346852,0.04758346074,0.04853841874
33a,0.42027208554,0.0017110419275396787,0.42010608574,0.01084668,0.0036169200000000005,0.41852446074000005,0.42303966874000004
33b,0.42264647734,0.005646233140019484,0.42005446074,0.010878080000000002,0.0037865200000000003,0.41716308574000005,0.43139112774000005
33c,0.4275285941400001,0.007338864808589182,0.42618750274000006,0.011468679999999998,0.00434752,0.42023187674000007,0.43899350274000004
3a,6.44482980234,1.080179046557445,5.96046912774,0.010863679999999999,0.00389732,5.92145541874,8.37634779374
3b,5.249953660739999,0.15194743913907532,5.201771335739999,0.010826279999999999,0.0039367199999999995,5.121612335739999,5.49463533574
3c,6.376914368939999,0.06262807129535031,6.35943891874,0.015364079999999999,0.00462212,6.32430146074,6.4748249607399995
4a,3.5005528275400004,0.05662152640656906,3.52117100274,0.011361479999999998,0.00396532,3.41912637774,3.5633806687400003
4b,0.95088616054,0.003566218174581879,0.95054846074,0.01079568,0.00346932,0.94610166874,0.95582700274
