command,mean,stddev,median,user,system,min,max
10a,11.814717889859999,0,11.814717889859999,0.010896079999999999,0.0033809599999999997,11.814717889859999,11.814717889859999
11a,0.05954855586000001,0,0.05954855586000001,0.010740079999999999,0.0031449599999999996,0.05954855586000001,0.05954855586000001
11b,0.02413563886,0,0.02413563886,0.01100108,0.00335696,0.02413563886,0.02413563886
11c,2.8351120138600003,0,2.8351120138600003,0.01093008,0.00376296,2.8351120138600003,2.8351120138600003
11d,1.94945101386,0,1.94945101386,0.01079308,0.00395196,1.94945101386,1.94945101386
12a,2.41318826486,0,2.41318826486,0.01119308,0.0033659600000000003,2.41318826486,2.41318826486
12b,2.33052405586,0,2.33052405586,0.01112208,0.0035699599999999996,2.33052405586,2.33052405586
12c,9.05571047286,0,9.05571047286,0.01089808,0.0034969600000000003,9.05571047286,9.05571047286
13a,4.98565755586,0,4.98565755586,0.01069708,0.00382896,4.98565755586,4.98565755586
13b,5.57494018086,0,5.57494018086,0.01103608,0.00427196,5.57494018086,5.57494018086
13c,4.524798930859999,0,4.524798930859999,0.01063608,0.0031309600000000003,4.524798930859999,4.524798930859999
13d,18.98803026486,0,18.98803026486,0.01118608,0.00484096,18.98803026486,18.98803026486
14a,5.1684119728599995,0,5.1684119728599995,0.01073608,0.00406096,5.1684119728599995,5.1684119728599995
14b,2.31583313886,0,2.31583313886,0.01066408,0.0033549599999999997,2.31583313886,2.31583313886
14c,11.87402913986,0,11.87402913986,0.01162408,0.00491996,11.87402913986,11.87402913986
15a,1.92537330586,0,1.92537330586,0.01112208,0.00417796,1.92537330586,1.92537330586
15b,1.08475863986,0,1.08475863986,0.01081408,0.0032759599999999996,1.08475863986,1.08475863986
15c,5.41047659786,0,5.41047659786,0.01041808,0.00291996,5.41047659786,5.41047659786
15d,5.74003197286,0,5.74003197286,0.010894079999999999,0.00404996,5.74003197286,5.74003197286
16a,3.22636543086,0,3.22636543086,0.01133408,0.00457996,3.22636543086,3.22636543086
16b,22.25151709786,0,22.25151709786,0.01095908,0.00485096,22.25151709786,22.25151709786
16c,26.56480751386,0,26.56480751386,0.011302079999999999,0.00643696,26.56480751386,26.56480751386
16d,7.88359255586,0,7.88359255586,0.011711079999999999,0.00624496,7.88359255586,7.88359255586
17a,13.22106863986,0,13.22106863986,0.010972079999999999,0.0031919599999999998,13.22106863986,13.22106863986
17b,9.219343221859999,0,9.219343221859999,0.011503079999999999,0.00449796,9.219343221859999,9.219343221859999
17c,8.160657430859999,0,8.160657430859999,0.01109508,0.0035359600000000003,8.160657430859999,8.160657430859999
17d,11.29078893086,0,11.29078893086,0.011132079999999999,0.00417996,11.29078893086,11.29078893086
17e,16.42525226486,0,16.42525226486,0.01128008,0.00571396,16.42525226486,16.42525226486
17f,13.82645151386,0,13.82645151386,0.01162908,0.00531596,13.82645151386,13.82645151386
18a,12.273082347859999,0,12.273082347859999,0.011425079999999999,0.00523996,12.273082347859999,12.273082347859999
18b,6.26794955586,0,6.26794955586,0.01110808,0.0037779600000000003,6.26794955586,6.26794955586
18c,23.301413680859998,0,23.301413680859998,0.01096608,0.00461196,23.301413680859998,23.301413680859998
19a,42.05223947286,0,42.05223947286,0.01155308,0.00545296,42.05223947286,42.05223947286
19b,3.4235349308600003,0,3.4235349308600003,0.011170079999999999,0.00464896,3.4235349308600003,3.4235349308600003
19c,2.5894810978600002,0,2.5894810978600002,0.01067608,0.0032479600000000003,2.5894810978600002,2.5894810978600002
19d,16.99785634786,0,16.99785634786,0.011475079999999999,0.00587696,16.99785634786,16.99785634786
1a,1.46823455586,0,1.46823455586,0.01116208,0.0038769599999999996,1.46823455586,1.46823455586
1b,1.11371301386,0,1.11371301386,0.01109408,0.0033069600000000003,1.11371301386,1.11371301386
1c,1.1793033888600002,0,1.1793033888600002,0.01038708,0.00281996,1.1793033888600002,1.1793033888600002
1d,1.11522172286,0,1.11522172286,0.010483079999999999,0.0030729599999999996,1.11522172286,1.11522172286
20a,14.64357293086,0,14.64357293086,0.01071308,0.00325796,14.64357293086,14.64357293086
20b,7.01952055586,0,7.01952055586,0.01122508,0.00484696,7.01952055586,7.01952055586
20c,4.32650980586,0,4.32650980586,0.011158079999999999,0.00419496,4.32650980586,4.32650980586
21a,0.06404763886,0,0.06404763886,0.01088808,0.0031759600000000002,0.06404763886,0.06404763886
21b,0.037855096860000007,0,0.037855096860000007,0.01095708,0.00339796,0.037855096860000007,0.037855096860000007
21c,0.04052284786,0,0.04052284786,0.01118308,0.00350596,0.04052284786,0.04052284786
22a,6.357191846859999,0,6.357191846859999,0.011078079999999999,0.0035569599999999996,6.357191846859999,6.357191846859999
22b,2.27750176386,0,2.27750176386,0.011052079999999999,0.0038239600000000004,2.27750176386,2.27750176386
22c,20.21071122286,0,20.21071122286,0.011158079999999999,0.00327996,20.21071122286,20.21071122286
22d,13.59983638886,0,13.59983638886,0.01161108,0.00539496,13.59983638886,13.59983638886
23a,4.16320888886,0,4.16320888886,0.01128508,0.00414796,4.16320888886,4.16320888886
23b,3.5895641398600002,0,3.5895641398600002,0.01060908,0.00287496,3.5895641398600002,3.5895641398600002
23c,9.06544088986,0,9.06544088986,0.01074708,0.0031839600000000004,9.06544088986,9.06544088986
24a,2.09493422286,0,2.09493422286,0.011243079999999999,0.00465896,2.09493422286,2.09493422286
24b,2.3214373478600003,0,2.3214373478600003,0.011111079999999999,0.0035769599999999997,2.3214373478600003,2.3214373478600003
25a,19.19865772286,0,19.19865772286,0.01074108,0.00377396,19.19865772286,19.19865772286
