label,join_buffer_size_bytes,spill_ratio,duration_s,optimistic_count,spill_count
256KB,262144,0.7142857142857143,0.6580205,7,5
384KB,393216,0.42857142857142855,0.560183917,7,3
512KB,524288,0.42857142857142855,0.55109375,7,3
768KB,786432,0.2857142857142857,0.583265167,7,2
1MB,1048576,0.14285714285714285,0.446774584,7,1
1.5MB,1572864,0.14285714285714285,0.45128275,7,1
2MB,2097152,0.14285714285714285,0.442007916,7,1
3MB,3145728,0.14285714285714285,0.442274667,7,1
4MB,4194304,0.14285714285714285,0.437637458,7,1
6MB,6291456,0.0,0.43147475,7,0
