label,query,join_buffer_size_bytes,optimistic_count,spill_count,duration_s
384KB,25c,393216,1,1,51.458924472
384KB,7c,393216,2,1,230.473519499
384KB,3c,393216,0,0,14.144401636
384KB,5b,393216,1,0,14.545483476
384KB,21b,393216,0,0,3.4233023879999998
384KB,4b,393216,0,0,2.84457684
384KB,18b,393216,2,0,10.683265036
384KB,27b,393216,1,0,3.409032303
384KB,6b,393216,2,0,4.029536951
384KB,13a,393216,1,0,26.215888876
384KB,22c,393216,2,0,41.014263067
384KB,2b,393216,0,0,0.274444699
384KB,8d,393216,2,1,136.587591884
384KB,23b,393216,1,0,16.138356443
384KB,2d,393216,0,0,0.289533867
384KB,4a,393216,0,0,6.976328305
384KB,20b,393216,1,1,48.422864598
384KB,17b,393216,2,0,0.606688225
384KB,29c,393216,2,1,42.551558584
384KB,17e,393216,1,0,0.282963162
384KB,6e,393216,2,0,4.010062019
384KB,4c,393216,0,0,7.617283848
384KB,14a,393216,1,0,28.334656128
384KB,9b,393216,2,1,33.811457719
384KB,7a,393216,2,0,3.239807449
384KB,11a,393216,0,0,1.880425209
384KB,11d,393216,2,0,5.115932797
384KB,18c,393216,1,1,47.244040401
384KB,6a,393216,2,0,4.008411273
384KB,20c,393216,1,1,314.608066286
384KB,18a,393216,1,1,59.73174789
384KB,17a,393216,1,0,0.282031502
384KB,17d,393216,2,0,0.606056291
384KB,30c,393216,2,1,65.975750215
384KB,14b,393216,2,0,15.642392758
384KB,23c,393216,0,0,16.388692481
384KB,1d,393216,0,0,3.741888735
384KB,2a,393216,0,0,0.305624542
384KB,8a,393216,2,1,32.84043983
384KB,17c,393216,2,0,0.606648829
384KB,12a,393216,0,0,16.069669317
384KB,11c,393216,1,0,7.708798669
384KB,32a,393216,1,0,0.278722508
384KB,28b,393216,1,0,20.0407373
384KB,33b,393216,1,0,6.035622364
384KB,9c,393216,2,1,41.686897977
384KB,26a,393216,2,1,137.348893118
384KB,10c,393216,2,1,42.524609008
384KB,10a,393216,2,0,35.637081724
384KB,29a,393216,2,0,71.220122068
384KB,16a,393216,1,0,0.274384193
384KB,19a,393216,2,1,66.350695131
384KB,14c,393216,1,0,28.09650385
384KB,6c,393216,2,0,4.027026792
384KB,15d,393216,1,0,15.791003837
384KB,22b,393216,3,0,18.553129389
384KB,15b,393216,1,0,17.420396047
384KB,28a,393216,1,0,25.65749631
384KB,9a,393216,2,1,40.904657889
384KB,12c,393216,0,0,18.60181292
384KB,5a,393216,1,0,14.980987759
384KB,29b,393216,1,0,50.548436785
384KB,31b,393216,2,0,48.077547168
384KB,6d,393216,2,0,4.052022251
384KB,19b,393216,2,1,47.586682868
384KB,24a,393216,2,1,54.271391679
384KB,33c,393216,1,0,6.151340484
384KB,1c,393216,0,0,3.87936687
384KB,8c,393216,2,1,150.923121325
384KB,16b,393216,1,0,0.294060577
384KB,13b,393216,3,0,22.748619191
384KB,6f,393216,2,2,61.084455609
384KB,1b,393216,0,0,3.68696379
384KB,20a,393216,1,1,1192.422264529
384KB,16c,393216,1,0,0.269769311
384KB,13d,393216,1,0,70.010451921
384KB,30b,393216,1,0,36.517492693
384KB,21c,393216,1,0,1.9290543150000001
384KB,26b,393216,2,1,133.050883498
384KB,3a,393216,0,0,13.657835634
384KB,27c,393216,1,0,3.370372676
384KB,30a,393216,1,1,54.581813571
384KB,17f,393216,2,0,0.633960255
384KB,33a,393216,1,0,6.064663051
384KB,32b,393216,1,0,0.273970235
384KB,19d,393216,3,1,52.959508955
384KB,27a,393216,1,0,3.373655601
384KB,5c,393216,1,0,15.591130579
512KB,9d,524288,2,1,41.686824086
512KB,21a,524288,1,0,1.915746633
512KB,8b,524288,2,1,30.842852662
512KB,25b,524288,1,0,44.43002429
512KB,11b,524288,0,0,1.931565805
512KB,19c,524288,2,1,55.181006062
512KB,25a,524288,1,1,49.418509663
512KB,23a,524288,0,0,16.491625057
512KB,28c,524288,0,0,28.116961007
512KB,2c,524288,0,0,0.277910727
512KB,3b,524288,0,0,13.101981975
512KB,15a,524288,1,0,16.155492324
512KB,26c,524288,1,1,182.35481154
512KB,22d,524288,2,0,77.458129408
512KB,31c,524288,1,1,51.807648668
512KB,22a,524288,3,0,19.939700244
512KB,7b,524288,2,0,3.190766588
512KB,16d,524288,1,0,0.278372239
512KB,13c,524288,3,0,21.040050363
512KB,15c,524288,1,0,15.741405908
512KB,10b,524288,3,1,34.128187882
512KB,12b,524288,1,0,13.914212034
512KB,1a,524288,0,0,4.492680014
512KB,24b,524288,2,0,46.458671812
512KB,31a,524288,1,0,54.126286173
512KB,25c,524288,1,1,51.3783395
512KB,7c,524288,2,1,210.582513535
512KB,3c,524288,0,0,14.508157845
512KB,5b,524288,1,0,14.81576211
512KB,21b,524288,0,0,3.4115713100000002
512KB,4b,524288,0,0,2.7622238120000002
512KB,18b,524288,2,0,10.764955649000001
512KB,27b,524288,1,0,3.424289836
512KB,6b,524288,2,0,4.007671553
512KB,13a,524288,1,0,23.705637434
512KB,22c,524288,2,0,39.975574073
512KB,2b,524288,0,0,0.269724801
512KB,8d,524288,2,1,132.490078831
512KB,23b,524288,1,0,16.395406392
512KB,2d,524288,0,0,0.271773861
512KB,4a,524288,0,0,5.9172856209999996
512KB,20b,524288,1,1,42.399628115
512KB,17b,524288,2,0,0.606028585
512KB,29c,524288,2,1,42.586486151
512KB,17e,524288,1,0,0.27378026
512KB,6e,524288,2,0,4.083069141
512KB,4c,524288,0,0,6.942785548
512KB,14a,524288,1,0,30.453090684
512KB,9b,524288,2,1,34.032460809
512KB,7a,524288,2,0,3.189820757
512KB,11a,524288,0,0,1.947525097
512KB,11d,524288,2,0,5.015978081
512KB,18c,524288,1,1,47.005233272
512KB,6a,524288,2,0,4.02956615
512KB,20c,524288,1,1,296.50961233
512KB,18a,524288,1,1,56.618829725
512KB,17a,524288,1,0,0.282399732
512KB,17d,524288,2,0,0.588471353
512KB,30c,524288,2,1,62.259077993
512KB,14b,524288,2,0,15.650440651
512KB,23c,524288,0,0,16.311138417
512KB,1d,524288,0,0,3.716375192
512KB,2a,524288,0,0,0.279140166
512KB,8a,524288,2,1,32.896173283
512KB,17c,524288,2,0,0.566820606
512KB,12a,524288,0,0,16.111102584
512KB,11c,524288,1,0,7.76147883
512KB,32a,524288,1,0,0.282844507
512KB,28b,524288,1,0,19.710437648
512KB,33b,524288,1,0,5.966052359
512KB,9c,524288,2,1,41.203538775
512KB,26a,524288,2,1,110.520361173
512KB,10c,524288,2,1,42.997126525
512KB,10a,524288,2,0,34.991909603
512KB,29a,524288,2,0,68.705925017
512KB,16a,524288,1,0,0.283241759
512KB,19a,524288,2,1,62.761793443
512KB,14c,524288,1,0,30.467530162
512KB,6c,524288,2,0,3.9992260120000003
512KB,15d,524288,1,0,15.902700786
512KB,22b,524288,3,0,18.358812761
512KB,15b,524288,1,0,15.999364777
512KB,28a,524288,1,0,24.87782062
512KB,9a,524288,2,1,41.912934992
512KB,12c,524288,0,0,18.688592492
512KB,5a,524288,1,0,15.083942943
512KB,29b,524288,1,0,50.151699463
512KB,31b,524288,2,0,47.661017008
512KB,6d,524288,2,0,3.998173051
512KB,19b,524288,2,1,46.966540062
512KB,24a,524288,2,1,54.098977396
512KB,33c,524288,1,0,6.12135463
512KB,1c,524288,0,0,3.873497986
512KB,8c,524288,2,1,144.952072727
512KB,16b,524288,1,0,0.273500096
512KB,13b,524288,3,0,21.204212037
512KB,6f,524288,2,2,59.098102616
512KB,1b,524288,0,0,3.705575696
512KB,20a,524288,1,1,1083.929993595
512KB,16c,524288,1,0,0.2713135
512KB,13d,524288,1,0,83.819420078
512KB,30b,524288,1,0,36.25543931
512KB,21c,524288,1,0,1.944851581
