label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
14a,2097152,0.0,0,0,0.0,2.941273635
14a,2097152,0.0,0,0,0.0,2.940841058
14a,2097152,0.0,0,0,0.0,2.9194665669999997
14a,2097152,0.0,0,0,0.0,2.9143930879999997
14a,2097152,0.0,0,0,0.0,2.925477097
14a,2097152,0.0,0,0,0.0,2.918108808
14a,2097152,0.0,0,0,0.0,2.921022256
14a,2097152,0.0,0,1,0.2,2.939553551
14a,2097152,0.0,0,1,0.2,2.92710904
14a,2097152,0.0,0,1,0.2,2.936371523
14a,2097152,0.0,0,1,0.2,2.928959998
14a,2097152,0.0,0,1,0.2,2.945441711
14a,2097152,0.0,0,1,0.2,2.929324693
14a,2097152,0.0,0,1,0.2,2.910295472
14a,2097152,0.0,0,1,0.4,2.928188466
14a,2097152,0.0,0,1,0.4,2.916619455
14a,2097152,0.0,0,1,0.4,2.936041826
14a,2097152,0.0,0,1,0.4,2.907190532
14a,2097152,0.0,0,1,0.4,2.910735952
14a,2097152,0.0,0,1,0.4,2.929397125
14a,2097152,0.0,0,1,0.4,2.907369526
14a,2097152,0.0,0,1,0.6,2.938354139
14a,2097152,0.0,0,1,0.6,2.932062769
14a,2097152,0.0,0,1,0.6,2.9080905919999998
14a,2097152,0.0,0,1,0.6,2.961060287
14a,2097152,0.0,0,1,0.6,2.92342757
14a,2097152,0.0,0,1,0.6,2.923956997
14a,2097152,0.0,0,1,0.6,2.940703351
14a,2097152,0.0,0,1,0.8,2.9336294609999998
14a,2097152,0.0,0,1,0.8,2.920374882
14a,2097152,0.0,0,1,0.8,2.916456706
14a,2097152,0.0,0,1,0.8,2.946509319
14a,2097152,0.0,0,1,0.8,2.950080442
14a,2097152,0.0,0,1,0.8,2.928357949
14a,2097152,0.0,0,1,0.8,2.925849406
14a,2097152,0.0,0,1,1.0,2.9536144540000002
14a,2097152,0.0,0,1,1.0,2.940434841
14a,2097152,0.0,0,1,1.0,2.944538753
14a,2097152,0.0,0,1,1.0,2.956333102
14a,2097152,0.0,0,1,1.0,2.951541919
14a,2097152,0.0,0,1,1.0,2.9167946689999997
14a,2097152,0.0,0,1,1.0,2.964333655
