label,join_buffer_size_bytes,join_buffer_size_label,join_id,actual_time_get_all_ms
stq2,262144,256KB,6,114.0
stq2,262144,256KB,7,101.0
stq2,262144,256KB,8,94.0
stq2,262144,256KB,9,83.1
stq2,262144,256KB,10,57.7
stq2,262144,256KB,1,478.0
stq2,262144,256KB,2,331.0
stq2,262144,256KB,3,293.0
stq2,262144,256KB,4,226.0
stq2,262144,256KB,5,203.0
stq2,262144,256KB,6,114.0
stq2,262144,256KB,7,101.0
stq2,262144,256KB,8,94.4
stq2,262144,256KB,9,83.6
stq2,262144,256KB,10,58.2
stq2,262144,256KB,1,500.0
stq2,262144,256KB,2,347.0
stq2,262144,256KB,3,307.0
stq2,262144,256KB,4,227.0
stq2,262144,256KB,5,202.0
stq2,262144,256KB,6,114.0
stq2,262144,256KB,7,101.0
stq2,262144,256KB,8,94.0
stq2,262144,256KB,9,83.4
stq2,262144,256KB,10,57.9
stq2,262144,256KB,1,488.0
stq2,262144,256KB,2,341.0
stq2,262144,256KB,3,303.0
stq2,262144,256KB,4,235.0
stq2,262144,256KB,5,212.0
stq2,262144,256KB,6,124.0
stq2,262144,256KB,7,111.0
stq2,262144,256KB,8,104.0
stq2,262144,256KB,9,92.6
stq2,262144,256KB,10,66.6
stq2,262144,256KB,1,482.0
stq2,262144,256KB,2,333.0
stq2,262144,256KB,3,294.0
stq2,262144,256KB,4,227.0
stq2,262144,256KB,5,204.0
stq2,262144,256KB,6,116.0
stq2,262144,256KB,7,103.0
stq2,262144,256KB,8,96.6
stq2,262144,256KB,9,85.5
stq2,262144,256KB,10,59.2
stq2,262144,256KB,1,479.0
stq2,262144,256KB,2,330.0
stq2,262144,256KB,3,292.0
stq2,262144,256KB,4,224.0
stq2,262144,256KB,5,201.0
stq2,262144,256KB,6,113.0
stq2,262144,256KB,7,101.0
stq2,262144,256KB,8,94.1
stq2,262144,256KB,9,83.5
stq2,262144,256KB,10,58.0
stq2,262144,256KB,1,486.0
stq2,262144,256KB,2,339.0
stq2,262144,256KB,3,301.0
stq2,262144,256KB,4,234.0
stq2,262144,256KB,5,210.0
stq2,262144,256KB,6,120.0
stq2,262144,256KB,7,106.0
stq2,262144,256KB,8,99.5
stq2,262144,256KB,9,88.4
stq2,262144,256KB,10,62.3
stq2,262144,256KB,1,479.0
stq2,262144,256KB,2,331.0
stq2,262144,256KB,3,293.0
stq2,262144,256KB,4,226.0
stq2,262144,256KB,5,204.0
stq2,262144,256KB,6,115.0
stq2,262144,256KB,7,102.0
