command,mean,stddev,median,user,system,min,max
10a,27.35459092678,0.23426046454319702,27.30935213398,0.0055210400000000005,0.0026712399999999996,27.06745884498,27.696741431979998
11a,0.10711310358000001,0.0025354750390047826,0.10654781998000001,0.005031039999999999,0.0032276399999999995,0.10524707798,0.11153058598000001
11b,0.013037651780000001,0.00027331428024016574,0.013043608980000001,0.00485664,0.00301024,0.012727359980000002,0.013419821980000001
11c,4.79563176518,0.07769990234624592,4.760371374979999,0.010224639999999998,0.00303224,4.727596731979999,4.918436048979999
11d,5.49359264878,0.032891993157125196,5.495452696979999,0.01475244,0.00336804,5.45010005398,5.5388406969799995
12a,5.93016170658,0.03471119047953199,5.93763934398,0.006190039999999999,0.002440272,5.87315144598,5.9669264449799995
12b,3.95716853358,0.10091995253663966,3.92211043298,0.00470104,0.003625671999999999,3.83964680298,4.10914295898
12c,32.06111901398,0.14645581095747492,32.11209040098,0.0074318399999999995,0.0035416399999999995,31.832596179979998,32.20563746698
13a,19.212941050579996,0.12719856146578135,19.250453979979998,0.051292840000000006,0.00900004,19.058287466979998,19.35421277298
13b,22.48018659338,0.08008073899582491,22.47577064598,0.00513164,0.0034478399999999998,22.35882184598,22.57116920898
13c,22.17197953998,0.12448221290636612,22.10628743298,0.00650564,0.00177704,22.07158906098,22.344968276979998
13d,173.32096470678,0.3593204593060087,173.48281969798,0.29186523999999997,0.055954040000000003,172.72461828798,173.58004775298
14a,10.711676381379998,0.061618470248018274,10.721665274980001,0.00511904,0.0033406399999999998,10.611095926980001,10.77735078798
14b,5.807635823979999,0.1089933008239415,5.754397099979999,0.005127039999999999,0.0030708399999999996,5.748750760979999,6.00131316298
14c,22.120222144579994,0.14361608773159687,22.064143964979998,0.00606604,0.0038996399999999994,22.021438937979998,22.369913280979997
15a,7.675380744179999,0.028800468309693152,7.6770869269799995,0.0063132399999999995,0.0022022400000000003,7.63407702398,7.71314598998
15b,2.58750179438,0.021676656656831234,2.58124594898,0.00568824,0.00268924,2.56962343298,2.62429449198
15c,13.659953926380002,0.08503138252580351,13.61507328098,0.006632439999999999,0.00271744,13.57707675998,13.77624524398
15d,14.92283473318,0.09782072357486624,14.88707285698,0.01018504,0.0034260399999999996,14.84830879898,15.09431642198
